airport_arrivals,airlines,status_,airport_id,city_id,country_id
"2024-01-18 08:20:00","Air France",Delayed,1,1,30
"2024-01-18 08:30:00",Ryanair,Delayed,1,1,30
"2024-01-18 08:25:00",KLM,Expected,1,1,30
"2024-01-18 08:55:00",Lufthansa,Canceled,1,1,30
"2024-01-18 09:30:00","Fly One",Expected,1,1,30
"2024-01-18 09:45:00",Aegean,Expected,1,1,30
"2024-01-18 09:10:00","British Airways",Expected,1,1,30
"2024-01-18 09:00:00","EasyJet Europe",Expected,1,1,30
"2024-01-18 08:45:00",Turkish,Delayed,1,1,30
"2024-01-18 09:05:00",Eurowings,Delayed,1,1,30
"2024-01-18 09:50:00",Ryanair,Expected,1,1,30
"2024-01-18 09:40:00",Ryanair,Expected,1,1,30
"2024-01-18 09:55:00","Iberia Express",Expected,1,1,30
"2024-01-18 09:55:00",Lufthansa,Canceled,1,1,30
"2024-01-18 09:10:00",Lufthansa,Expected,1,1,30
"2024-01-18 09:00:00",SWISS,Expected,1,1,30
"2024-01-18 09:35:00","Ghodawat Enterprises",Delayed,1,1,30
"2024-01-18 09:35:00",Austrian,Expected,1,1,30
"2024-01-18 09:55:00",Pegasus,Expected,1,1,30
"2024-01-18 09:00:00",easyJet,Expected,1,1,30
"2024-01-18 10:30:00","Air France",Expected,1,1,30
"2024-01-18 10:05:00","British Airways",Expected,1,1,30
"2024-01-18 10:30:00","British Airways",Expected,1,1,30
"2024-01-18 10:50:00","Norwegian Air Sweden",Expected,1,1,30
"2024-01-18 10:30:00",Ryanair,Expected,1,1,30
"2024-01-18 10:30:00",Ryanair,Expected,1,1,30
"2024-01-18 10:05:00",KLM,Expected,1,1,30
"2024-01-18 10:55:00",Lufthansa,Expected,1,1,30
"2024-01-18 10:20:00",Pegasus,Expected,1,1,30
"2024-01-18 10:05:00",SAS,Expected,1,1,30
"2024-01-18 10:05:00",Brussels,Expected,1,1,30
"2024-01-18 11:20:00",Finnair,Expected,1,1,30
"2024-01-18 11:40:00","Norwegian Air Shuttle",Expected,1,1,30
"2024-01-18 11:00:00",Icelandair,Expected,1,1,30
"2024-01-18 11:00:00",Lufthansa,Expected,1,1,30
"2024-01-18 11:10:00","Air Cairo",Expected,1,1,30
"2024-01-18 11:40:00","Turkish Airlines",Expected,1,1,30
"2024-01-18 11:45:00",easyJet,Expected,1,1,30
"2024-01-18 11:40:00",Ryanair,Expected,1,1,30
"2024-01-18 11:55:00",Lufthansa,Expected,1,1,30
"2024-01-18 11:35:00","Sun Express",Expected,1,1,30
"2024-01-18 12:30:00","British Airways",Expected,1,1,30
"2024-01-18 12:15:00","British Airways",Expected,1,1,30
"2024-01-18 12:45:00","Norwegian Air Shuttle",Expected,1,1,30
"2024-01-18 12:45:00",Eurowings,Expected,1,1,30
"2024-01-18 12:40:00",Ryanair,Expected,1,1,30
"2024-01-18 12:40:00",Ryanair,Expected,1,1,30
"2024-01-18 12:30:00",Ryanair,Expected,1,1,30
"2024-01-18 12:45:00",KLM,Expected,1,1,30
"2024-01-18 12:55:00",Lufthansa,Expected,1,1,30
"2024-01-18 12:15:00",Ryanair,Expected,1,1,30
"2024-01-18 12:55:00",EgyptAir,Expected,1,1,30
"2024-01-18 12:25:00","Qatar Airways",Expected,1,1,30
"2024-01-18 12:25:00",Turkish,Expected,1,1,30
"2024-01-18 12:05:00","Sun Express",Expected,1,1,30
"2024-01-18 13:50:00","Air France",Expected,1,1,30
"2024-01-18 13:50:00",Eurowings,Expected,1,1,30
"2024-01-18 13:25:00",Eurowings,Expected,1,1,30
"2024-01-18 13:55:00",Lufthansa,Canceled,1,1,30
"2024-01-18 13:55:00",Lufthansa,Expected,1,1,30
"2024-01-18 13:05:00",SWISS,Expected,1,1,30
"2024-01-18 13:25:00",Austrian,Expected,1,1,30
"2024-01-18 13:35:00",Pegasus,Expected,1,1,30
"2024-01-18 14:55:00","British Airways",Expected,1,1,30
"2024-01-18 14:10:00",Eurowings,Expected,1,1,30
"2024-01-18 14:55:00",Lufthansa,Expected,1,1,30
"2024-01-18 14:15:00",SAS,Expected,1,1,30
"2024-01-18 15:45:00","British Airways",Expected,1,1,30
"2024-01-18 15:05:00",Eurowings,Expected,1,1,30
"2024-01-18 15:10:00",Eurowings,Expected,1,1,30
"2024-01-18 15:25:00",Eurowings,Expected,1,1,30
"2024-01-18 15:55:00",Lufthansa,Expected,1,1,30
"2024-01-18 15:05:00",Lufthansa,Expected,1,1,30
"2024-01-18 15:20:00",Austrian,Expected,1,1,30
"2024-01-18 15:35:00","TAP Air Portugal",Expected,1,1,30
"2024-01-18 16:35:00","EasyJet Europe",Expected,1,1,30
"2024-01-18 16:30:00",Ryanair,Expected,1,1,30
"2024-01-18 16:55:00",Ryanair,Expected,1,1,30
"2024-01-18 16:40:00",KLM,Expected,1,1,30
"2024-01-18 16:55:00",Lufthansa,Expected,1,1,30
"2024-01-18 16:55:00","LOT - Polish",Expected,1,1,30
"2024-01-18 16:50:00",SWISS,Expected,1,1,30
"2024-01-18 16:50:00",Brussels,Expected,1,1,30
"2024-01-18 16:35:00",Turkish,Expected,1,1,30
"2024-01-18 16:35:00",easyJet,Expected,1,1,30
"2024-01-18 17:25:00",Finnair,Expected,1,1,30
"2024-01-18 17:50:00","British Airways",Expected,1,1,30
"2024-01-18 17:05:00","EasyJet Europe",Expected,1,1,30
"2024-01-18 17:30:00",Eurowings,Expected,1,1,30
"2024-01-18 17:45:00",Ryanair,Expected,1,1,30
"2024-01-18 17:55:00",Lufthansa,Expected,1,1,30
"2024-01-18 17:10:00",Lufthansa,Expected,1,1,30
"2024-01-18 17:55:00",SWISS,Expected,1,1,30
"2024-01-18 17:55:00",Austrian,Expected,1,1,30
"2024-01-18 17:05:00",easyJet,Expected,1,1,30
"2024-01-18 17:35:00",Volotea,Expected,1,1,30
"2024-01-18 18:15:00","Danish Air",Expected,1,1,30
"2024-01-18 18:35:00","Norwegian Air Shuttle",Expected,1,1,30
"2024-01-18 18:00:00",Eurowings,Expected,1,1,30
"2024-01-18 18:15:00",Eurowings,Expected,1,1,30
"2024-01-18 18:00:00","Iberia Express",Expected,1,1,30
"2024-01-18 18:00:00",Iberia,Expected,1,1,30
"2024-01-18 18:55:00",Lufthansa,Expected,1,1,30
"2024-01-18 18:50:00",SWISS,Expected,1,1,30
"2024-01-18 18:20:00",Volotea,Expected,1,1,30
"2024-01-18 19:30:00","Easyjet Switzerland",Expected,1,1,30
"2024-01-18 19:45:00","EasyJet Europe",Expected,1,1,30
"2024-01-18 19:00:00","EasyJet Europe",Expected,1,1,30
"2024-01-18 19:25:00",Ryanair,Expected,1,1,30
"2024-01-18 19:10:00",Luxair,Expected,1,1,30
"2024-01-18 19:10:00",Lufthansa,Expected,1,1,30
"2024-01-18 19:10:00","El Al",Expected,1,1,30
"2024-01-18 19:10:00","Transavia France",Expected,1,1,30
"2024-01-18 19:30:00",easyJet,Expected,1,1,30
"2024-01-18 19:45:00",easyJet,Expected,1,1,30
"2024-01-18 19:00:00",easyJet,Expected,1,1,30
"2024-01-18 19:30:00",Vueling,Canceled,1,1,30
"2024-01-18 19:10:00","Wizz Air",Expected,1,1,30
"2024-01-18 20:10:00","EasyJet Europe",Expected,1,1,30
"2024-01-18 20:20:00","EasyJet Europe",Expected,1,1,30
"2024-01-18 20:05:00",Eurowings,Expected,1,1,30
"2024-01-18 20:05:00",Eurowings,Expected,1,1,30
"2024-01-18 20:05:00",KLM,Expected,1,1,30
"2024-01-18 20:10:00","British Airways",Expected,1,1,30
"2024-01-18 20:05:00",Lufthansa,Expected,1,1,30
"2024-01-18 20:10:00",easyJet,Expected,1,1,30
"2024-01-18 20:20:00",easyJet,Expected,1,1,30
"2024-01-18 20:20:00","Aero Services Executive",Expected,1,1,30
"2024-01-18 20:10:00","Aero Services Executive",Expected,1,1,30
"2024-01-18 10:05:00","Unknown/Private owner",Expected,2,3,21
"2024-01-18 08:55:00","ITA Airways",Unknown,3,3,21
"2024-01-18 08:30:00",Iberia,Expected,3,3,21
"2024-01-18 08:55:00","TAP Air Portugal",Expected,3,3,21
"2024-01-18 08:55:00","Air Europa",Expected,3,3,21
"2024-01-18 08:50:00",Vueling,Expected,3,3,21
"2024-01-18 09:30:00","Air Algerie",Unknown,3,3,21
"2024-01-18 09:55:00","Royal Air Maroc",Unknown,3,3,21
"2024-01-18 09:55:00","Royal Air Maroc",Unknown,3,3,21
"2024-01-18 09:45:00","Air France",Unknown,3,3,21
"2024-01-18 09:20:00","Air France",Unknown,3,3,21
"2024-01-18 09:25:00","Transavia France",Unknown,3,3,21
"2024-01-18 09:45:00","Transavia France",Unknown,3,3,21
"2024-01-18 09:10:00","TAP Air Portugal",Expected,3,3,21
"2024-01-18 09:50:00",Tunisair,Unknown,3,3,21
"2024-01-18 09:00:00","Air Caraibes",Unknown,3,3,21
"2024-01-18 09:35:00",easyJet,Expected,3,3,21
